Unnamed: 0,transaction_id,product_id,customer_id,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date,profit,Recency,Frequency,MonetaryValue,R_quartile,F_quartile,M_quartile,RFM_score,RFM_segment,customer_category
0,1,2,2950,2017-02-25,0.0,Approved,Solex,Standard,medium,medium,71.49,53.62,2012-12-02,17.869999999999997,75.0,3.0,645.0,2.0,1.0,1.0,211.0,Low Value,Almost Lost Customer
1,2,3,3120,2017-05-21,1.0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,2014-03-03,1702.5499999999995,20.0,7.0,4179.0,3.0,3.0,3.0,333.0,High Value,Potential Customer
2,3,37,402,2017-10-16,0.0,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,1999-07-20,1544.61,56.0,6.0,4965.0,2.0,2.0,4.0,224.0,Mid Value,High Risk Customer
3,4,88,3135,2017-08-31,0.0,Approved,Norco Bicycles,Standard,medium,medium,1198.46,381.1,1998-12-16,817.36,121.0,7.0,3983.0,1.0,3.0,3.0,133.0,Low Value,Almost Lost Customer
4,5,78,787,2017-10-01,1.0,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,2015-08-10,1055.82,75.0,10.0,6646.0,2.0,4.0,4.0,244.0,Mid Value,Losing Customer
5,6,25,2339,2017-03-08,1.0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,2006-11-10,709.34,11.0,9.0,4669.0,4.0,4.0,4.0,444.0,High Value,Platinum Customer
6,7,22,1542,2017-04-21,1.0,Approved,WeareA2B,Standard,medium,medium,60.34,45.26,1993-07-15,15.080000000000004,133.0,5.0,1825.0,1.0,2.0,1.0,121.0,Low Value,Evasive Customer
7,8,15,2459,2017-07-15,0.0,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,2009-04-12,1279.4,53.0,11.0,4737.0,2.0,4.0,4.0,244.0,Mid Value,Losing Customer
8,9,67,1305,2017-08-10,0.0,Approved,Solex,Standard,medium,large,1071.23,380.74,1991-08-05,690.49,142.0,5.0,2825.0,1.0,2.0,2.0,122.0,Low Value,Evasive Customer
9,10,12,3262,2017-08-30,1.0,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,2004-08-17,1069.5500000000002,1.0,10.0,4290.0,4.0,4.0,4.0,444.0,High Value,Platinum Customer
10,11,5,1986,2017-01-17,0.0,Approved,Trek Bicycles,Mountain,low,medium,574.64,459.71,2011-08-29,114.93,44.0,6.0,2436.0,3.0,2.0,2.0,322.0,Mid Value,Late Bloomer
11,12,61,2783,2017-01-05,1.0,Approved,OHM Cycles,Standard,low,medium,71.16,56.93,2015-06-17,14.229999999999997,73.0,11.0,2757.0,2.0,4.0,2.0,242.0,Mid Value,Losing Customer
12,13,35,1243,2017-02-26,1.0,Approved,Trek Bicycles,Standard,low,medium,1057.51,154.4,1994-07-12,903.11,70.0,10.0,5127.0,2.0,4.0,4.0,244.0,Mid Value,Losing Customer
13,14,16,2717,2017-09-10,0.0,Approved,Norco Bicycles,Standard,high,small,1661.92,1479.11,1994-09-09,182.81000000000017,41.0,10.0,4576.0,3.0,4.0,4.0,344.0,High Value,Potential Customer
14,15,12,247,2017-06-11,0.0,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,2004-07-25,1055.82,112.0,7.0,4913.0,1.0,3.0,4.0,134.0,Low Value,Almost Lost Customer
15,16,3,2961,2017-10-10,0.0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,2003-09-09,1702.5499999999995,2.0,6.0,6234.0,4.0,2.0,4.0,424.0,Mid Value,Becoming Loyal
16,17,79,2426,2017-04-03,0.0,Approved,Norco Bicycles,Standard,medium,medium,1555.58,818.01,2004-08-07,737.5699999999999,16.0,5.0,3721.0,4.0,2.0,3.0,423.0,Mid Value,Becoming Loyal
17,18,33,1842,2017-06-02,0.0,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,1992-10-11,144.26,211.0,5.0,3055.0,1.0,2.0,3.0,123.0,Low Value,Evasive Customer
18,19,54,2268,2017-04-06,1.0,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,2009-04-12,1279.4,35.0,8.0,4473.0,3.0,4.0,4.0,344.0,High Value,Potential Customer
