customer_id,Recency,Frequency,MonetaryValue,R_quartile,F_quartile,M_quartile,RFM_score,RFM_segment,customer_category
1,7,11,3018,4,4,3,443,High Value,Very Loyal
2,128,3,2226,1,1,2,112,Low Value,Evasive Customer
4,195,2,220,1,1,1,111,Low Value,Lost Customer
5,16,6,2394,4,2,2,422,Mid Value,Becoming Loyal
6,64,5,3946,2,2,3,223,Mid Value,High Risk Customer
7,253,3,220,1,1,1,111,Low Value,Lost Customer
8,22,10,7066,3,4,4,344,High Value,Potential Customer
9,78,6,2353,2,2,2,222,Mid Value,High Risk Customer
11,46,6,3638,2,2,3,223,Mid Value,High Risk Customer
12,67,7,3540,2,3,3,233,Mid Value,Losing Customer
13,27,7,4337,3,3,4,334,High Value,Potential Customer
14,47,4,1713,2,1,1,211,Low Value,Almost Lost Customer
15,35,6,1728,3,2,1,321,Mid Value,Late Bloomer
16,99,5,4521,1,2,4,124,Low Value,Evasive Customer
17,0,5,2015,4,2,2,422,Mid Value,Becoming Loyal
18,134,7,3543,1,3,3,133,Low Value,Almost Lost Customer
19,102,3,2951,1,1,3,113,Low Value,Evasive Customer
20,31,4,3608,3,1,3,313,Low Value,Late Bloomer
21,6,5,4229,4,2,4,424,Mid Value,Becoming Loyal
24,17,8,3689,4,4,3,443,High Value,Very Loyal
25,5,12,5333,4,4,4,444,High Value,Platinum Customer
26,113,3,268,1,1,1,111,Low Value,Lost Customer
27,143,7,3274,1,3,3,133,Low Value,Almost Lost Customer
28,83,6,3366,2,2,3,223,Mid Value,High Risk Customer
29,22,9,6175,3,4,4,344,High Value,Potential Customer
30,11,3,2633,4,1,2,412,Low Value,Recent Customer
31,89,4,426,1,1,1,111,Low Value,Lost Customer
32,138,7,2823,1,3,2,132,Low Value,Almost Lost Customer
33,38,7,5294,3,3,4,334,High Value,Potential Customer
34,102,9,4825,1,4,4,144,Low Value,Almost Lost Customer
35,92,4,3706,1,1,3,113,Low Value,Evasive Customer
36,163,2,204,1,1,1,111,Low Value,Lost Customer
37,7,9,6338,4,4,4,444,High Value,Platinum Customer
38,50,4,2025,2,1,2,212,Low Value,Almost Lost Customer
39,34,12,6085,3,4,4,344,High Value,Potential Customer
40,14,6,4552,4,2,4,424,Mid Value,Becoming Loyal
41,29,9,4698,3,4,4,344,High Value,Potential Customer
42,111,4,427,1,1,1,111,Low Value,Lost Customer
